N,exe,solver,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,adda_ocl,bicgstab,1,5.60813630485320402E-01,9.34587773846072198E-05,24729875.277383059,3.5890128352955371,,54,107,26.12,22.1122,8.5114
150,adda_ocl,bicgstab,2,5.60813630485320402E-01,9.34587773846072198E-05,24729875.277383059,3.5890128352955371,,54,107,25.6012,21.8698,8.4602
150,adda_ocl,bicgstab,3,5.60813630485320402E-01,9.34587773846072198E-05,24729875.277383059,3.5890128352955371,,54,107,25.0454,21.4947,8.4127
250,adda_ocl,bicgstab,1,5.60809394995828825E-01,8.87610424299733526E-05,24730049.766896885,3.5890381587190343,,54,107,121.7335,102.5341,41.9003
250,adda_ocl,bicgstab,2,5.60809394995828825E-01,8.87610424299733526E-05,24730049.766896885,3.5890381587190343,,54,107,121.0764,101.9139,41.8433
250,adda_ocl,bicgstab,3,5.60809394995828825E-01,8.87610424299733526E-05,24730049.766896885,3.5890381587190343,,54,107,120.6786,101.8149,41.8120
