N,cores,method,time_mean,time_std,speed_mean,speed_std
150,1,ADDA (FFTW),169.01416666666668,2.1071698610537757,1.000102894646117,0.012379628418416333
150,1,ADDA (GPFA),369.9891333333333,1.1453661961719337,1.0000063904059295,0.0030964565724595763
150,1,DDSCAT (GPFA),441.6666666666667,0.5773502691896216,1.0000011400571625,0.0013081969654122113
150,1,DDSCAT (MKL),383.6666666666667,2.886751345948133,1.0000375796877279,0.0074918507677221415
150,1,IFDDA (FFTW),188.39033333333336,2.9623977338185576,1.0001634677362976,0.015593385247697556
150,2,ADDA (FFTW),92.93406666666665,0.5193035753134561,1.818683794472066,0.01015114452776504
150,2,ADDA (GPFA),199.22416666666666,0.6406786271863051,1.8571626823707597,0.005980600030103545
150,2,DDSCAT (GPFA),413.3333333333333,0.577350269189634,1.0685497758698448,0.001491363821291648
150,2,DDSCAT (MKL),353.0,0.0,1.0868744098205856,0.0
150,2,IFDDA (FFTW),110.63600000000001,1.4939119786654058,1.7029997659827023,0.02284165697776123
150,5,ADDA (FFTW),54.03483333333333,0.44664314987844006,3.128016224456086,0.02575449939826015
150,5,ADDA (GPFA),102.28893333333333,0.45463590194059306,3.6171460335712964,0.01608814795037746
150,5,DDSCAT (GPFA),396.6666666666667,1.1547005383792432,1.1134516578402676,0.0032358302737434228
150,5,DDSCAT (MKL),339.0,2.6457513110645907,1.1318058652080767,0.008799968328506831
150,5,IFDDA (FFTW),64.39133333333332,1.0984454166381388,2.9262820430686154,0.050347861001788584
150,10,ADDA (FFTW),35.39293333333333,0.18612093738570443,4.77545287953916,0.025134854959994672
150,10,ADDA (GPFA),69.35286666666667,0.401657893403499,5.334998304433213,0.030969508538552716
150,10,DDSCAT (GPFA),399.6666666666667,2.886751345948133,1.1051258498170478,0.007949061962794345
150,10,DDSCAT (MKL),336.3333333333333,1.5275252316519405,1.1407490641560678,0.005173653354332306
150,10,IFDDA (FFTW),58.065,1.8640077789537235,3.2467363025926983,0.10575523783057805
150,15,ADDA (FFTW),32.79196666666667,0.11757726537615183,5.15417736285744,0.018442471655974742
150,15,ADDA (GPFA),59.7096,0.14126998973597166,6.196499620800726,0.014657317717697977
150,15,DDSCAT (GPFA),394.0,1.0,1.1209862016053351,0.002845151807612966
150,15,DDSCAT (MKL),334.6666666666667,1.5275252316519405,1.1464302877860093,0.005240167589240915
150,15,IFDDA (FFTW),47.195,0.521951147139272,3.9920683542867894,0.04406426798403785
150,25,ADDA (FFTW),23.000433333333334,0.10887994917951431,7.348413525056977,0.03483739065488316
150,25,ADDA (GPFA),40.068333333333335,0.020139596156162357,9.233955217570168,0.004640808772853129
150,25,DDSCAT (GPFA),398.6666666666667,1.1547005383792432,1.1078657174762705,0.0032034719710060857
150,25,DDSCAT (MKL),339.3333333333333,1.1547005383792432,1.1306570754534555,0.0038550305130367756
150,25,IFDDA (FFTW),67.16733333333333,8.087256910308547,2.831139820063919,0.32880559892028394
150,50,ADDA (FFTW),18.764799999999997,0.13333405416471805,9.007282983751741,0.0640921315128357
150,50,ADDA (GPFA),30.744766666666667,0.05001123207173751,12.034236246109131,0.019557551903228297
150,50,DDSCAT (GPFA),397.3333333333333,1.5275252316519405,1.1115881207909137,0.004268343759557263
150,50,DDSCAT (MKL),338.3333333333333,1.5275252316519545,1.1340055364995951,0.005112709258469084
150,50,IFDDA (FFTW),50.590666666666664,2.6660338207407124,3.7308978911829964,0.20161146122898818
150,75,ADDA (FFTW),13.352566666666666,0.05194538798905373,12.657931384047801,0.049263423058372106
150,75,ADDA (GPFA),21.454866666666664,0.017834330190207054,17.24500596831454,0.014330457242208116
150,75,DDSCAT (GPFA),401.3333333333333,2.5166114784235907,1.1005271529784244,0.006892678544252762
150,75,DDSCAT (MKL),341.3333333333333,0.5773502691896216,1.124025579317034,0.0018993847925698679
150,75,IFDDA (FFTW),48.598333333333336,7.32789126102,3.932364054324223,0.556841944532741
150,150,ADDA (FFTW),8.356133333333332,0.026919571566674533,20.226500566202603,0.0651347584972383
150,150,ADDA (GPFA),12.122766666666665,0.00893159187006058,30.52020033330677,0.02249217319169449
150,150,DDSCAT (GPFA),430.3333333333333,2.5166114784235907,1.0263595478596688,0.005995450585406041
150,150,DDSCAT (MKL),365.6666666666667,4.1633319989322635,1.049316291710867,0.01200636330786627
150,150,IFDDA (FFTW),49.58133333333333,4.262906793882942,3.8194193634086187,0.3453951026560461
250,1,ADDA (FFTW),973.6460333333333,12.049882647699604,1.0001019126647146,0.012352301237716221
250,1,ADDA (GPFA),2368.399266666667,8.55087863633499,1.0000086887921276,0.003609905061818624
250,1,DDSCAT (GPFA),2103.3333333333335,1.527525231651959,1.0000003515371372,0.0007260762140177024
250,1,DDSCAT (MKL),1877.0,4.358898943540674,1.0000035907716927,0.0023193514859190354
250,1,IFDDA (FFTW),891.8580000000001,13.712287227155025,1.0001562376958026,0.015242740794796067
250,2,ADDA (FFTW),511.5762333333333,5.30319721708833,1.9033647526263155,0.019838326705426734
250,2,ADDA (GPFA),1240.5748333333333,7.250750646887124,1.90915801570028,0.011196178923245452
250,2,DDSCAT (GPFA),1964.3333333333333,5.507570547286069,1.0707675413765367,0.0030068915854631
250,2,DDSCAT (MKL),1734.0,1.0,1.0824685214383079,0.0006242610734972554
250,2,IFDDA (FFTW),493.92766666666665,4.298796847181,1.8057361609855427,0.015719228177805335
250,5,ADDA (FFTW),298.4692333333333,1.351389782162557,3.2621766743794516,0.0148044001645241
250,5,ADDA (GPFA),713.5768333333334,0.3736673966688814,3.319053518902866,0.0017382406831496656
