N,cores,method,time_mean,time_std,speed_mean,speed_std
150,1,ADDA (FFTW),140.01543333333333,0.46460978609295434,1.0000073296693133,0.003313320918010448
150,1,ADDA (GPFA),288.4891,2.549338127828488,1.0000520414267322,0.008833809647826233
150,1,DDSCAT (GPFA),342.05,22.681801074870577,1.0028517936062367,0.064525727476
150,1,DDSCAT (MKL),181.85666666666665,0.5120872321522223,1.000005288476317,0.002817134835602895
150,1,IFDDA (FFTW),147.6605,0.4051721856199071,1.0000037646293019,0.0027439546184861844
150,2,ADDA (FFTW),98.12116666666667,2.558756669426255,1.4276025388265916,0.0366938527447528
150,2,ADDA (GPFA),188.95719999999997,3.135621330773212,1.527025510207496,0.02552878475681983
150,2,DDSCAT (GPFA),305.4166666666667,1.086569525310467,1.1199548607074858,0.003976332567578669
150,2,DDSCAT (MKL),164.82666666666668,0.2010804150914261,1.1033217542692153,0.0013453600509817688
150,2,IFDDA (FFTW),100.82733333333333,1.5577860357999482,1.464721472311183,0.02259073940871205
150,5,ADDA (FFTW),61.4077,2.6229666581944997,2.2828055191382237,0.09516123090704062
150,5,ADDA (GPFA),126.63363333333332,2.7351846561673576,2.278853797181245,0.04959845673340122
150,5,DDSCAT (GPFA),296.7133333333333,2.840938811965743,1.152866275775192,0.010979960089076193
150,5,DDSCAT (MKL),149.97,5.101186136576471,1.213540805142079,0.040594919507687885
150,5,IFDDA (FFTW),55.553,0.34060387549175364,2.6580780547931315,0.01633945904634045
150,10,ADDA (FFTW),64.10113333333334,1.0330851965512458,2.1846647603516787,0.03492549032696124
150,10,ADDA (GPFA),134.58813333333333,2.109856111997523,2.143848448819297,0.03374337455600521
150,10,DDSCAT (GPFA),297.6466666666667,5.7631357205373295,1.149470411972356,0.022394144152372057
150,10,DDSCAT (MKL),154.71666666666667,4.204192352085397,1.1760033273521426,0.03234372702922405
150,10,IFDDA (FFTW),58.725,0.46901918937288656,2.514546920979775,0.02004605761153378
150,15,ADDA (FFTW),60.55093333333334,0.6501051632877051,2.3125365261477007,0.024946225904358597
150,15,ADDA (GPFA),141.82803333333334,0.8966025336420353,2.0341308149879573,0.012836911963700457
150,15,DDSCAT (GPFA),297.6433333333333,3.7877477916742746,1.1493192284426188,0.014734172397486225
150,15,DDSCAT (MKL),152.17999999999998,2.566768396252382,1.195236754982709,0.020140689717143476
150,15,IFDDA (FFTW),56.031,1.1261744980241708,2.636039947927236,0.05255266923787254
150,22,DDSCAT (GPFA),295.34000000000003,0.7778174593051581,1.1581607172692199,0.0030501714179366926
150,22,DDSCAT (MKL),161.09333333333333,5.74446980437127,1.129838561545278,0.03990403970930991
150,22,IFDDA (FFTW),64.16733333333333,1.878687130241044,2.3025089353405894,0.0681583866030162
250,1,ADDA (FFTW),867.0565333333334,6.804059939722258,1.0000410663260457,0.007849840555789415
250,1,ADDA (GPFA),1930.4753,27.285710703406547,1.0001325523111355,0.014067495934011517
250,1,DDSCAT (GPFA),1521.1399999999999,15.315932880500757,1.0000506921317058,0.010069230496724509
250,1,DDSCAT (MKL),870.63,6.538784290676716,1.0000376837028666,0.007526353211354449
250,1,IFDDA (FFTW),777.6665,36.12679255760187,1.0010802167618804,0.04650556160574691
250,2,ADDA (FFTW),547.7103,9.46109455559979,1.5833724036884345,0.027404205951995497
250,2,ADDA (GPFA),1631.4343333333334,104.77910611340094,1.1866775311198459,0.07890558695278266
250,2,DDSCAT (GPFA),1435.1466666666665,6.055859421529968,1.0599321404600544,0.004477890043390322
250,2,DDSCAT (MKL),782.7366666666667,7.956521434228192,1.1123668421015322,0.011370709504109497
250,2,IFDDA (FFTW),491.51366666666667,25.033604541362628,1.584850963316713,0.07846039368510868
250,5,ADDA (FFTW),318.8597,5.442749364062234,2.719765644924628,0.04605956612686719
250,5,ADDA (GPFA),853.0422333333332,2.1492131870368936,2.263057316460665,0.005700274438269941
250,5,DDSCAT (GPFA),1365.8766666666668,16.001126002045464,1.1137743525375952,0.012974180408741565
250,5,DDSCAT (MKL),752.2666666666668,49.960084400782755,1.1606315507958571,0.07429442820138604
250,5,IFDDA (FFTW),272.20633333333336,11.066543468189764,2.8599881819239434,0.11391730235555797
250,10,ADDA (FFTW),337.03146666666663,10.859232956951098,2.574410844621499,0.08302151052205382
250,10,ADDA (GPFA),887.3631,2.5573881578673143,2.1755310825873244,0.006279215409976461
250,10,DDSCAT (GPFA),1362.9366666666667,11.399808477923266,1.116127142604299,0.00929059257452618
250,10,DDSCAT (MKL),725.0166666666668,8.25879127556404,1.200944654225573,0.013601948704821601
250,10,IFDDA (FFTW),255.03733333333332,1.4007049415681079,3.0492874556578684,0.016750140273039924
250,15,ADDA (FFTW),344.8711333333333,1.5664076140434273,2.514180970862735,0.011402703720947392
250,15,ADDA (GPFA),1028.3281,2.2659018491541,1.8773011779419158,0.004139705395345458
250,15,DDSCAT (GPFA),1365.21,4.6050732893191775,1.114225312094022,0.0037583589980528546
250,15,DDSCAT (MKL),721.0433333333334,5.016944621314172,1.2074975215971675,0.008383026831166181
250,15,IFDDA (FFTW),234.04899999999998,1.0695667347108309,3.3227115541462964,0.015169556842447725
250,22,DDSCAT (GPFA),1368.29,14.112338573035924,1.111787758335212,0.011487139628221727
250,22,DDSCAT (MKL),727.2566666666667,4.089405009696805,1.1971680035675714,0.0067534457178878675
250,22,IFDDA (FFTW),237.42966666666666,2.0465933483067293,3.275517057234589,0.02816148613913439
