N,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,ifdda_gpu,1,1,0.56081363048868726,8.2374118508924321e-05,2.4729875277378756E-011,,54,110,15.696000000000000,6.9119999999999999
150,ifdda_gpu,1,2,0.56081363048868726,8.2374118508924321e-05,2.4729875277378756E-011,,54,110,15.651000000000000,6.7649999999999997
150,ifdda_gpu,1,3,0.56081363048868726,8.2374118508924321e-05,2.4729875277378756E-011,,54,110,15.494999999999999,6.7539999999999996
150,ifdda_gpu_sp,1,1,0.5608135461807251,8.2934253441635519e-05,2.4729877427131161E-011,,54,110,11.890000000000001,3.5259999999999998
150,ifdda_gpu_sp,1,2,0.5608135461807251,8.2934253441635519e-05,2.4729877427131161E-011,,54,110,11.851000000000001,3.2130000000000001
150,ifdda_gpu_sp,1,3,0.5608135461807251,8.2934253441635519e-05,2.4729877427131161E-011,,54,110,11.532000000000000,3.1850000000000001
150,ifdda_gpu,10,1,0.56081363048868726,8.2374118508924321e-05,2.4729875277378756E-011,,54,110,7.9249999999999998,6.7709999999999999
150,ifdda_gpu,10,2,0.56081363048868726,8.2374118508924321e-05,2.4729875277378756E-011,,54,110,7.9299999999999997,6.7640000000000002
150,ifdda_gpu,10,3,0.56081363048868726,8.2374118508924321e-05,2.4729875277378756E-011,,54,110,7.9299999999999997,6.7620000000000005 
150,ifdda_gpu_sp,10,1,0.5608135461807251,8.2934253441635519e-05,2.4729877427131161E-011,,54,110,4.3140000000000001,3.1739999999999999
150,ifdda_gpu_sp,10,2,0.5608135461807251,8.2934253441635519e-05,2.4729877427131161E-011,,54,110,4.3129999999999997,3.1779999999999999
150,ifdda_gpu_sp,10,3,0.5608135461807251,8.2934253441635519e-05,2.4729877427131161E-011,,54,110,4.3209999999999997,3.1800000000000002
250,ifdda_gpu,1,1,0.56080939499582383,8.2789511495655669e-05,2.4730049767174789E-011,,54,110,69.554000000000002,27.515999999999998
250,ifdda_gpu,1,2,0.56080939499582383,8.2789511495655669e-05,2.4730049767174789E-011,,54,110,69.287000000000006,27.484000000000002
250,ifdda_gpu,1,3,0.56080939499582383,8.2789511495655669e-05,2.4730049767174789E-011,,54,110,69.768000000000001,27.468000000000000
250,ifdda_gpu_sp,1,1,0.56080925464630127,8.2571023085620254e-05,2.4730051928284086E-011,,54,110,56.060000000000002,15.598000000000001
250,ifdda_gpu_sp,1,2,0.56080925464630127,8.2571023085620254e-05,2.4730051928284086E-011,,54,110,57.497000000000000,15.441000000000001
250,ifdda_gpu_sp,1,3,0.56080925464630127,8.2571023085620254e-05,2.4730051928284086E-011,,54,110,55.509999999999998,15.433999999999999
250,ifdda_gpu,10,1,0.56080939499582383,8.2789511495655669e-05,2.4730049767174789E-011,,54,110,32.951000000000001,27.565000000000001
250,ifdda_gpu,10,2,0.56080939499582383,8.2789511495655669e-05,2.4730049767174789E-011,,54,110,32.936000000000000,27.561000000000000
250,ifdda_gpu,10,3,0.56080939499582383,8.2789511495655669e-05,2.4730049767174789E-011,,54,110,32.820999999999998,27.472000000000001
250,ifdda_gpu_sp,10,1,0.56080925464630127,8.2571023085620254e-05,2.4730051928284086E-011,,54,110,20.831000000000000,15.478999999999999
250,ifdda_gpu_sp,10,2,0.56080925464630127,8.2571023085620254e-05,2.4730051928284086E-011,,54,110,20.943999999999999,15.510999999999999
250,ifdda_gpu_sp,10,3,0.56080925464630127,8.2571023085620254e-05,2.4730051928284086E-011,,54,110,20.916000000000000,15.487000000000000
