N,exe,OMP,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,ifdda_GPU_single,1,0.5608135461807251,8.3728715253528208e-05,2.4729737780259799E-011,0:16.40,53,108,15.788000000000000     ,7.9370000000000003     
150,ifdda_GPU_single,10,0.5608135461807251,8.3728715253528208e-05,2.4729737780261566E-011,0:09.85,53,108,9.5079999999999991     ,7.7990000000000004     
150,ifdda_GPU,1,0.56081363048868715,8.3166638982658204e-05,2.4729875277374514E-011,0:45.58,54,110,45.241999999999997     ,37.386000000000003     
150,ifdda_GPU,10,0.56081363048868715,8.3166638982658204e-05,2.4729875277380217E-011,0:39.79,54,110,39.479999999999997     ,37.761000000000003     
