N,exe,solver,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,adda_ocl,bicgstab,5.60813630483392500E-01,9.10876058684474433E-05,24.729875277364307,3.5890128352928135,0:45.36,54,107,45.2854,39.7497,32.7297
150,adda_ocl,bicg,5.91754776510889036E-01,7.54886709090159849E-05,24.730435986491784,3.5890942102384131,0:52.72,131,131,52.6748,49.2529,40.1674
150,adda_ocl_blas,bicg,5.91754776511762004E-01,7.54886709664577885E-05,24.730435986491731,3.5890942102384056,0:40.10,131,131,39.8578,36.4882,0.0599
250,adda_ocl,bicgstab,5.60809394951159335E-01,9.20301877034866359E-05,24.730049767265829,3.589038158772579,3:57.86,54,107,237.8164,219.9427,187.3384
250,adda_ocl,bicg,5.91779622671824490E-01,7.61715455478986038E-05,24.730587626716005,3.5891162175758935,4:51.14,131,131,291.0881,272.3419,229.6392
