N,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,ifdda_gpu_sp,1,2,0.5608135461807251,8.3728715253528208e-05,2.4729737780259799E-011,0:16.81,53,108,16.501999999999999     ,7.7130000000000001     
150,ifdda_gpu_sp,10,3,0.5608135461807251,8.3728715253528208e-05,2.4729737780261560E-011,0:10.08,53,108,9.7340000000000000     ,7.8410000000000002     
150,ifdda_gpu_sp,1,1,0.5608135461807251,8.3728715253528208e-05,2.4729737780259799E-011,0:17.07,53,108,16.721000000000000     ,7.7960000000000003     
150,ifdda_gpu,10,2,0.56081363048868726,8.3062458431410399e-05,2.4729875277380036E-011,0:29.79,54,110,29.492000000000001     ,27.539000000000001     
150,ifdda_gpu_sp,10,4,0.5608135461807251,8.3728715253528208e-05,2.4729737780261560E-011,0:10.05,53,108,9.7059999999999995     ,7.9459999999999997     
150,ifdda_gpu,10,4,0.56081363048868726,8.3062458431410399e-05,2.4729875277380042E-011,0:29.51,54,110,29.221000000000000     ,27.440000000000001     
150,ifdda_gpu_sp,10,1,0.5608135461807251,8.3728715253528208e-05,2.4729737780261556E-011,0:09.94,53,108,9.5370000000000008     ,7.7699999999999996     
150,ifdda_gpu,1,3,0.56081363048868726,8.3062458431410399e-05,2.4729875277378637E-011,0:36.61,54,110,36.261000000000003     ,27.451999999999998     
150,ifdda_gpu_sp,1,4,0.5608135461807251,8.3728715253528208e-05,2.4729737780259799E-011,0:16.37,53,108,15.975000000000000     ,7.9409999999999998     
150,ifdda_gpu_sp,10,2,0.5608135461807251,8.3728715253528208e-05,2.4729737780261556E-011,0:09.83,53,108,9.4489999999999998     ,7.6850000000000005     
150,ifdda_gpu,10,1,0.56081363048868726,8.3062458431410399e-05,2.4729875277380036E-011,0:29.92,54,110,29.568999999999999     ,27.573000000000000     
150,ifdda_gpu_sp,1,3,0.5608135461807251,8.3728715253528208e-05,2.4729737780259799E-011,0:17.10,53,108,16.763999999999999     ,7.9569999999999999     
150,ifdda_gpu,10,3,0.56081363048868726,8.3062458431410399e-05,2.4729875277380042E-011,0:29.55,54,110,29.213000000000001     ,27.430000000000000     
150,ifdda_gpu,1,1,0.56081363048868726,8.3062458431410399e-05,2.4729875277378637E-011,0:36.06,54,110,35.704000000000001     ,27.494000000000000     
150,ifdda_gpu,1,4,0.56081363048868726,8.3062458431410399e-05,2.4729875277378637E-011,0:36.18,54,110,35.832000000000001     ,27.542000000000002     
150,ifdda_gpu,1,2,0.56081363048868726,8.3062458431410399e-05,2.4729875277378637E-011,0:35.67,54,110,35.323999999999998     ,27.408000000000001     
