N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
150,FFTMKL,1,1,0.5608136304886936,8.76844886752e-05,3.5890128352951014,3:02.96,182.96,54
150,FFTMKL,1,2,0.5608136304886936,8.76844886752e-05,3.5890128352951014,3:04.93,184.93,54
150,FFTMKL,1,3,0.5608136304886936,8.76844886752e-05,3.5890128352951014,3:05.02,185.02,54
150,GPFAFT,1,1,0.5608136304886928,8.77098170831e-05,3.5890128352893464,5:23.64,323.64,54
150,GPFAFT,1,2,0.5608136304886928,8.77098170831e-05,3.5890128352893464,5:21.54,321.54,54
150,GPFAFT,1,3,0.5608136304886928,8.77098170831e-05,3.5890128352893464,5:20.35,320.35,54
150,FFTMKL,2,1,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:37.10,157.1,54
150,FFTMKL,2,2,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:37.82,157.82,54
150,FFTMKL,2,3,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:38.50,158.5,54
150,GPFAFT,2,1,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:56.02,296.02,54
150,GPFAFT,2,2,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:56.57,296.57,54
150,GPFAFT,2,3,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:56.53,296.53,54
150,FFTMKL,5,1,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:25.70,145.7,54
150,FFTMKL,5,2,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:25.30,145.3,54
150,FFTMKL,5,3,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:26.29,146.29,54
150,GPFAFT,5,1,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:45.02,285.02,54
150,GPFAFT,5,2,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:44.23,284.23,54
150,GPFAFT,5,3,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:45.25,285.25,54
150,FFTMKL,10,1,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:27.67,147.67,54
150,FFTMKL,10,2,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:29.14,149.14,54
150,FFTMKL,10,3,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:27.23,147.23,54
150,GPFAFT,10,1,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:46.33,286.33,54
150,GPFAFT,10,2,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:46.49,286.49,54
150,GPFAFT,10,3,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:46.78,286.78,54
150,FFTMKL,15,1,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:27.94,147.94,54
150,FFTMKL,15,2,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:27.54,147.54,54
150,FFTMKL,15,3,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:28.09,148.09,54
150,GPFAFT,15,1,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:44.83,284.83,54
150,GPFAFT,15,2,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:44.15,284.15,54
150,GPFAFT,15,3,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:44.99,284.99,54
150,FFTMKL,22,1,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:31.80,151.8,54
150,FFTMKL,22,2,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:32.37,152.37,54
150,FFTMKL,22,3,0.5608136304886936,8.76844886752e-05,3.5890128352951014,2:32.83,152.83,54
150,GPFAFT,22,1,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:50.76,290.76,54
150,GPFAFT,22,2,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:54.02,294.02,54
150,GPFAFT,22,3,0.5608136304886928,8.77098170831e-05,3.5890128352893464,4:49.24,289.24,54
250,FFTMKL,1,1,0.5608093949958108,8.62281276026e-05,3.5890381588209035,14:16.18,856.18,54
250,FFTMKL,1,2,0.5608093949958108,8.62281276026e-05,3.5890381588209035,14:18.51,858.51,54
250,FFTMKL,1,3,0.5608093949958108,8.62281276026e-05,3.5890381588209035,14:26.43,866.43,54
250,GPFAFT,1,1,0.5608093949958108,8.61932836703e-05,3.5890381588004328,24:40.66,1480.66,54
250,GPFAFT,1,2,0.5608093949958108,8.61932836703e-05,3.5890381588004328,24:45.18,1485.18,54
250,GPFAFT,1,3,0.5608093949958108,8.61932836703e-05,3.5890381588004328,24:48.74,1488.74,54
250,FFTMKL,2,1,0.5608093949958108,8.62281276026e-05,3.5890381588209035,12:44.29,764.29,54
250,FFTMKL,2,2,0.5608093949958108,8.62281276026e-05,3.5890381588209035,12:42.43,762.43,54
250,FFTMKL,2,3,0.5608093949958108,8.62281276026e-05,3.5890381588209035,12:44.26,764.26,54
250,GPFAFT,2,1,0.5608093949958108,8.61932836703e-05,3.5890381588004328,23:03.30,1383.3,54
250,GPFAFT,2,2,0.5608093949958108,8.61932836703e-05,3.5890381588004328,23:12.39,1392.39,54
250,GPFAFT,2,3,0.5608093949958108,8.61932836703e-05,3.5890381588004328,23:07.05,1387.05,54
250,FFTMKL,5,1,0.5608093949958108,8.62281276026e-05,3.5890381588209035,11:52.18,712.18,54
250,FFTMKL,5,2,0.5608093949958108,8.62281276026e-05,3.5890381588209035,11:51.16,711.16,54
250,FFTMKL,5,3,0.5608093949958108,8.62281276026e-05,3.5890381588209035,11:52.17,712.17,54
