N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
150,GPFAFT,1,3,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,5:20.35,320.3500,54
250,GPFAFT,1,3,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,24:48.74,1488.7400,54
250,GPFAFT,1,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,24:40.66,1480.6600,54
150,FFTMKL,1,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,3:02.96,182.9600,54
250,FFTMKL,1,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,14:16.18,856.1800,54
150,GPFAFT,1,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,5:21.54,321.5400,54
250,GPFAFT,1,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,24:45.18,1485.1800,54
250,FFTMKL,1,3,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,14:26.43,866.4300,54
250,FFTMKL,1,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,14:18.51,858.5100,54
150,FFTMKL,1,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,3:04.93,184.9300,54
150,GPFAFT,1,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,5:23.64,323.6400,54
150,FFTMKL,1,3,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,3:05.02,185.0200,54
250,FFTMKL,10,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:55.22,715.2200,54
250,GPFAFT,2,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,23:12.39,1392.3900,54
150,GPFAFT,22,3,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:49.24,289.2400,54
150,GPFAFT,10,3,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:46.78,286.7800,54
150,FFTMKL,2,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:37.10,157.1000,54
250,GPFAFT,2,3,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,23:07.05,1387.0500,54
150,FFTMKL,5,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:25.70,145.7000,54
150,GPFAFT,10,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:46.49,286.4900,54
250,GPFAFT,10,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:28.91,1348.9100,54
250,GPFAFT,5,3,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:25.42,1345.4200,54
250,GPFAFT,22,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:33.15,1353.1500,54
150,FFTMKL,15,3,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:28.09,148.0900,54
250,GPFAFT,15,3,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:28.57,1348.5700,54
150,GPFAFT,5,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:45.02,285.0200,54
150,GPFAFT,5,3,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:45.25,285.2500,54
250,GPFAFT,5,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:20.63,1340.6300,54
150,FFTMKL,10,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:29.14,149.1400,54
150,FFTMKL,22,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:32.37,152.3700,54
150,FFTMKL,22,3,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:32.83,152.8300,54
150,GPFAFT,2,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:56.57,296.5700,54
250,FFTMKL,22,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,12:04.46,724.4600,54
