JOBID,N,FFT,OMP,rep,first_residual,last_residual,Qext,elapsed_time,elapsed_seconds,num_iterations
1555603,250,FFTMKL,1,3,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555606,250,GPFAFT,15,2,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555669,250,GPFAFT,125,1,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555649,250,FFTMKL,1,1,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555651,150,FFTMKL,15,1,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555673,250,GPFAFT,125,2,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555680,250,GPFAFT,2,2,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555616,250,GPFAFT,25,1,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555715,150,FFTMKL,10,2,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555662,150,GPFAFT,5,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555711,150,GPFAFT,50,3,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555688,150,FFTMKL,150,2,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555689,150,FFTMKL,2,1,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555672,250,GPFAFT,2,1,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555693,150,FFTMKL,5,2,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555696,250,FFTMKL,15,1,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555686,250,GPFAFT,15,1,0.5608093949957411,0.0000839697836076,3.5890381587628215E+00,NA,NA,54
1555699,150,GPFAFT,1,2,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555709,150,FFTMKL,50,1,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
1555752,150,GPFAFT,15,1,0.5608136304887325,0.0000852000774872,3.5890128352944131E+00,NA,NA,54
1555702,250,FFTMKL,2,1,0.5608093949957415,0.0000839800211209,3.5890381587601654E+00,NA,NA,54
1555717,150,FFTMKL,25,3,0.5608136304887330,0.0000850114644079,3.5890128352985431E+00,NA,NA,54
