JOBID,N,OMP,EXE,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1556266,150,50,ifdda,2,0.56081363048852584,9.1397355680846855E-005,2.4729875277382517E-011,NA,54,110,37.703000000000003     ,15.907999999999999     
1556267,150,10,ifdda,2,0.56081363048981403,8.1459434304160052E-005,2.4729875277361521E-011,NA,54,110,51.796999999999997     ,38.271999999999998     
1556269,150,25,ifdda,3,0.56081363048822641,8.5870359016320107E-005,2.4729875277381693E-011,NA,54,110,42.787999999999997     ,25.093000000000000     
1556273,150,10,ifdda,1,0.56081363048981392,8.1556601452463181E-005,2.4729875277382201E-011,NA,54,110,54.006999999999998     ,38.936000000000000     
1556272,150,5,ifdda,2,0.56081363049094102,8.7068888094054108E-005,2.4729875277383994E-011,NA,54,110,63.735999999999997     ,51.343000000000004     
1556280,150,75,ifdda,1,0.56081363048875010,8.3351218496730822E-005,2.4729875277379794E-011,NA,54,110,33.018000000000001     ,13.253000000000000     
1556283,150,150,ifdda,3,0.56081363048858013,8.5699696645467815E-005,2.4729875277380970E-011,NA,54,110,43.418999999999997     ,14.089000000000000     
1556275,250,50,ifdda,1,0.56080939499677351,7.9438762230804821E-005,2.4730049767123420E-011,NA,54,110,112.13100000000000     ,76.469999999999999     
1556276,250,15,ifdda,1,0.56080939499846283,8.1600812757385947E-005,2.4730049766970308E-011,NA,54,110,171.31999999999999     ,135.92400000000001     
1556277,250,50,ifdda,2,0.56080939499677351,7.8310712884414437E-005,2.4730049767168291E-011,NA,54,110,112.34999999999999     ,75.137000000000000     
1556268,150,1,ifdda,1,0.56081363047393618,8.4029151321398152E-005,2.4729875277408196E-011,NA,54,110,193.81000000000000     ,170.11300000000000     
1556271,250,10,ifdda,2,0.56080939499823934,8.1507558050084757E-005,2.4730049767306188E-011,NA,54,110,206.55500000000001     ,172.62400000000000     
1556274,250,25,ifdda,2,0.56080939499797000,8.2991944167849581E-005,2.4730049767238615E-011,NA,54,110,154.44900000000001     ,114.30100000000000     
1556287,150,2,ifdda,1,0.56081363048872634,8.6490888899592327E-005,2.4729875277430313E-011,NA,54,110,110.71200000000000     ,90.138999999999996     
