N,exe,OMP,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,ifdda_GPU_single,1,1,53,2.4729737780259799E-011,0:17.08,53,108,16.753000000000000     ,7.7960000000000003     
150,ifdda_GPU_single,10,1,53,2.4729737780261556E-011,0:10.19,53,108,9.8650000000000002     ,7.7839999999999998     
150,ifdda_GPU,1,1,54,2.4729875277374514E-011,0:47.28,54,110,46.920999999999999     ,38.078000000000003     
150,ifdda_GPU,10,1,54,2.4729875277380220E-011,0:40.41,54,110,40.079000000000001     ,38.145000000000003     
