N,exe,solver,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
150,adda_ocl,bicgstab,5.60813630483392500E-01,9.10876058684474433E-05,24.729875277364307,3.5890128352928135,0:43.92,54,107,43.8730,40.4171,33.1009
150,adda_ocl,bicg,5.91754776510889036E-01,7.54886709090159849E-05,24.730435986491784,3.5890942102384131,0:52.73,131,131,52.6856,49.0954,39.4613
150,adda_ocl_blas,bicg,5.91754776511762004E-01,7.54886709664577885E-05,24.730435986491731,3.5890942102384056,0:41.47,131,131,41.4188,37.6665,0.0574
250,adda_ocl,bicgstab,5.60809394951159335E-01,9.20301877034866359E-05,24.730049767265829,3.589038158772579,4:05.61,54,107,245.5610,226.4234,191.9509
250,adda_ocl,bicg,5.91779622671824490E-01,7.61715455478986038E-05,24.730587626716005,3.5891162175758935,4:59.33,131,131,299.2879,279.9589,235.1861
