N,OMP,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,1,0.56081363047393618,8.5175681122978179E-005,2.4729875277389057E-011,3:10.41,54,110,190.14800000000000     ,181.22399999999999     
150,2,0.56081363048872612,8.6506417242846842E-005,2.4729875277332961E-011,2:08.07,54,110,127.81100000000001     ,123.64400000000001     
150,5,0.56081363049094091,8.6213930814428217E-005,2.4729875277374262E-011,1:11.11,54,110,70.867999999999995     ,68.698999999999998     
150,10,0.56081363048981403,8.1431399318689755E-005,2.4729875277377932E-011,1:19.23,54,110,78.971000000000004     ,77.224999999999994     
150,15,0.56081363048870414,8.4306830691673572E-005,2.4729875277380469E-011,1:33.13,54,110,92.867000000000004     ,91.322999999999993     
150,22,0.56081363048818988,8.6133552979210921E-005,2.4729875277396127E-011,0:56.52,54,110,56.255000000000003     ,54.761000000000003     
250,1,0.56080939496951732,8.1948408622676476E-005,2.4730049766924467E-011,16:40.57,54,110,999.64300000000003     ,960.46000000000004     
250,2,0.56080939497273985,8.4464756792627734E-005,2.4730049766666351E-011,10:12.65,54,110,611.68299999999999     ,592.50800000000004     
250,5,0.56080939498227700,8.4226272162790775E-005,2.4730049767527171E-011,5:42.11,54,110,341.12400000000002     ,331.58100000000002     
250,10,0.56080939499823934,8.1485350299917813E-005,2.4730049767248551E-011,4:50.29,54,110,289.31299999999999     ,281.61900000000003     
250,15,0.56080939499846283,8.1608436823830182E-005,2.4730049767148730E-011,4:28.71,54,110,267.70499999999998     ,260.74400000000003     
250,22,0.56080939499812521,8.2772686979036103E-005,2.4730049767204086E-011,4:10.80,54,110,249.73500000000001     ,242.95900000000000     
