JOBID,N,partition,exe,OMP,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
1595292,250,gpu_h200,ifdda_gpu,10,3,0.5608093949958238,8.3519143059268e-05,2.473004976717919e-11,0:16.25,54,110,15.427,8.452999999999998
1595263,250,gpu_all,ifdda_gpu_sp,2,1,0.560809314250946,8.114222873700783e-05,2.473004723717471e-11,0:50.63,54,110,49.996,10.478
1595265,250,gpu_all,ifdda_gpu_sp,10,1,0.560809314250946,8.114222873700783e-05,2.4730047237171703e-11,0:20.76,54,110,20.13,10.521
1595279,250,gpu_all,ifdda_gpu_sp,2,2,0.560809314250946,8.114222873700783e-05,2.473004723717471e-11,0:50.89,54,110,50.263,10.469
1595281,250,gpu_all,ifdda_gpu_sp,10,2,0.560809314250946,8.114222873700783e-05,2.4730047237171703e-11,0:20.72,54,110,20.106,10.539
1595295,250,gpu_all,ifdda_gpu_sp,2,3,0.560809314250946,8.114222873700783e-05,2.473004723717471e-11,0:50.68,54,110,50.062,10.478
1595297,250,gpu_all,ifdda_gpu_sp,10,3,0.560809314250946,8.114222873700783e-05,2.4730047237171697e-11,0:20.67,54,110,20.058,10.465
1595262,250,gpu_h200,ifdda_gpu_sp,2,1,0.560809314250946,9.461556328460574e-05,2.473019469653481e-11,0:41.42,53,108,40.602,8.977
1595264,250,gpu_h200,ifdda_gpu_sp,10,1,0.560809314250946,9.461556328460574e-05,2.4730194696536928e-11,0:16.59,53,108,15.77,8.792
1595278,250,gpu_h200,ifdda_gpu_sp,2,2,0.560809314250946,9.461556328460574e-05,2.473019469653481e-11,0:41.46,53,108,40.63,9.01
1595280,250,gpu_h200,ifdda_gpu_sp,10,2,0.560809314250946,9.461556328460574e-05,2.4730194696536928e-11,0:16.78,53,108,15.961,8.990999999999998
1595294,250,gpu_h200,ifdda_gpu_sp,2,3,0.560809314250946,9.461556328460574e-05,2.473019469653481e-11,0:41.35,53,108,40.547,8.979
1595296,250,gpu_h200,ifdda_gpu_sp,10,3,0.560809314250946,9.461556328460574e-05,2.4730194696536928e-11,0:16.58,53,108,15.767,8.794
