N,FFT,OMP,first_residual,last_residual,Qext,elapsed_time,num_iterations
150,FFTMKL,1,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,3:04.66,54
150,FFTMKL,2,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:37.86,54
150,FFTMKL,5,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:26.92,54
150,FFTMKL,10,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:27.56,54
150,FFTMKL,15,0.5608136304886936,0.0000876844886752,3.5890128352951014E+00,2:28.12,54
150,GPFAFT,1,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,5:18.92,54
150,GPFAFT,2,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,5:02.03,54
150,GPFAFT,5,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:53.60,54
150,GPFAFT,10,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:56.59,54
150,GPFAFT,15,0.5608136304886928,0.0000877098170831,3.5890128352893464E+00,4:57.20,54
250,FFTMKL,1,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,14:25.68,54
250,FFTMKL,2,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,12:39.29,54
250,FFTMKL,5,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:51.65,54
250,FFTMKL,10,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:50.57,54
250,FFTMKL,15,0.5608093949958108,0.0000862281276026,3.5890381588209035E+00,11:46.17,54
250,GPFAFT,1,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,24:39.27,54
250,GPFAFT,2,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,23:02.45,54
250,GPFAFT,5,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:11.44,54
250,GPFAFT,10,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:30.32,54
250,GPFAFT,15,0.5608093949958108,0.0000861932836703,3.5890381588004328E+00,22:46.79,54
